"rank","batchName","facultyPacketPath","cardId","sourceQueueId","title","category","rotation","learnerLevel","editorialStatus","missingGateCount","readyForReviewGateCount","nextGateLabel","nextGateStatus","learningStandardIds","facultyAction"
"11","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-04-facf68e3-1ae4-428f-95a2-28ad00ee0a2c","ap_cv-facf68e3-1ae4-428f-95a2-28ad00ee0a2c","Dilated cardiomyopathy","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"12","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-05-2d32a809-446a-452e-9321-787efb2a478f","ap_cv-2d32a809-446a-452e-9321-787efb2a478f","Ehlers-Danlos syndrome","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"13","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-06-c47df9a9-4bd1-45a5-a431-2bbf77a24058","ap_cv-c47df9a9-4bd1-45a5-a431-2bbf77a24058","Vasculitis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"14","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-07-c2e622de-f2eb-4d9c-82b1-9e8ccd98bd9e","ap_cv-c2e622de-f2eb-4d9c-82b1-9e8ccd98bd9e","Buerger disease","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"15","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-08-49fc4c22-9c00-40c5-806e-d6defdaf5840","ap_cv-49fc4c22-9c00-40c5-806e-d6defdaf5840","Lymphocytic myocarditis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"16","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-09-c9e2a468-cc5e-44b7-a5e0-a4b3a7600481","ap_cv-c9e2a468-cc5e-44b7-a5e0-a4b3a7600481","Atherosclerosis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"17","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-10-b6d05cd7-5727-4363-9db9-335b74c6b902","ap_cv-b6d05cd7-5727-4363-9db9-335b74c6b902","Valvular Diseases","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"18","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-11-2914e029-5a8d-4e7c-8e0a-21cf0cbcecb4","ap_cv-2914e029-5a8d-4e7c-8e0a-21cf0cbcecb4","Aortic Dissection","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"19","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-12-91c75d7f-ed5c-4863-a8ff-658b42533504","ap_cv-91c75d7f-ed5c-4863-a8ff-658b42533504","Aortic Aneurysm","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"20","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-13-d5d467ac-c123-47d3-80d0-bccd1da5813f","ap_cv-d5d467ac-c123-47d3-80d0-bccd1da5813f","Steatosis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"21","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-14-4bb24b11-577f-4a52-8de4-b38427b7ecda","ap_cv-4bb24b11-577f-4a52-8de4-b38427b7ecda","Cirrhosis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"22","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-15-9955c900-e2b8-4a4e-9620-13490083f90a","ap_cv-9955c900-e2b8-4a4e-9620-13490083f90a","Aneurysms","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"23","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-16-886ea9ab-83a3-48ad-88ae-a260da0e27c8","ap_cv-886ea9ab-83a3-48ad-88ae-a260da0e27c8","Hypertensive Intracerebral Hemorrhage","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"24","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-17-9d8104b9-9914-407c-8bcd-85e10b14503b","ap_cv-9d8104b9-9914-407c-8bcd-85e10b14503b","Seizure Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"25","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-18-133246e6-fccb-404f-825a-5c29506ac23e","ap_cv-133246e6-fccb-404f-825a-5c29506ac23e","Pulmonary Infections","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"26","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-19-1db34d00-37e2-4e5f-b0c9-673cf1d3502a","ap_cv-1db34d00-37e2-4e5f-b0c9-673cf1d3502a","Pulmonary Thromboembolism","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"27","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-20-ad743560-db38-4e8e-9261-ce4de9f68462","ap_cv-ad743560-db38-4e8e-9261-ce4de9f68462","Normal Development, Structure, and Function","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"28","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-21-bb1c8ec4-368d-4dc7-961f-e07c93aeb708","ap_cv-bb1c8ec4-368d-4dc7-961f-e07c93aeb708","Normal Circulation of the Embryo and Fetus","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"29","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-22-882c4672-a235-4d3d-87b7-b7ede9b400bd","ap_cv-882c4672-a235-4d3d-87b7-b7ede9b400bd","Genetic Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"30","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-23-6fdb8cb5-cfb5-4dcc-9ac6-91ac24726ace","ap_cv-6fdb8cb5-cfb5-4dcc-9ac6-91ac24726ace","Monosomy X","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"31","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-24-8dd55a4a-ceaa-4e71-b058-031a992c2446","ap_cv-8dd55a4a-ceaa-4e71-b058-031a992c2446","Trisomy 21","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"32","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-01-f4326c88-31a3-4d1e-a886-80e66507a039","ap_cv-f4326c88-31a3-4d1e-a886-80e66507a039","Primary cardiomyopathy","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"33","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-02-2164f3cc-8111-4e0e-bae3-040218ccb2e0","ap_cv-2164f3cc-8111-4e0e-bae3-040218ccb2e0","Williams-Beuren Syndrome","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"34","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-03-37b2fa84-5916-431f-b31a-4fdc6723c7af","ap_cv-37b2fa84-5916-431f-b31a-4fdc6723c7af","Malformation","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"35","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-04-ca59e159-84d0-4381-904e-ce094f742975","ap_cv-ca59e159-84d0-4381-904e-ce094f742975","Right-to-Left Shunts","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"36","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-05-a8b3583b-816c-46ff-9c62-be6cc6f22f0f","ap_cv-a8b3583b-816c-46ff-9c62-be6cc6f22f0f","Left-to-Right Shunts","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"37","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-06-cf42a7cd-446d-4796-92c8-927240a08507","ap_cv-cf42a7cd-446d-4796-92c8-927240a08507","Aortic Coarctation","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"38","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-07-e3e1e0a5-4ad6-4129-80ae-e1e18f275adb","ap_cv-e3e1e0a5-4ad6-4129-80ae-e1e18f275adb","Mitochondrial Cardiomyopathy","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"39","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-08-5649e5b0-3f79-42cd-9c60-de1da4aae56e","ap_cv-5649e5b0-3f79-42cd-9c60-de1da4aae56e","Storage Disorder Cardiomyopathy","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"40","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-09-0783c761-67e0-4568-8576-9b87b20f96e1","ap_cv-0783c761-67e0-4568-8576-9b87b20f96e1","Myocarditis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"41","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-10-4bf99bfb-029c-42f3-ba51-10938df02ccd","ap_cv-4bf99bfb-029c-42f3-ba51-10938df02ccd","Normal Development, Structure, and Function","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"42","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-11-a7920b79-2f6b-4b5a-ac55-7e12964787aa","ap_cv-a7920b79-2f6b-4b5a-ac55-7e12964787aa","Tracheobronchial and Pulmonary Disorders of the Newborn","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"43","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-12-eddfa7bb-2db1-40c3-8333-4c2e2a838637","ap_cv-eddfa7bb-2db1-40c3-8333-4c2e2a838637","Bacterial Infections","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"44","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-13-f03f546a-7576-48ba-9ea4-49d389873ceb","ap_cv-f03f546a-7576-48ba-9ea4-49d389873ceb","Trisomy 13","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"45","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-14-9fd11184-a066-4a0c-a605-01acbb0d61e7","ap_cv-9fd11184-a066-4a0c-a605-01acbb0d61e7","Holoprosencephaly","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"46","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-15-fb2de802-c26e-4bf6-972f-5b1ae4c01fff","ap_cv-fb2de802-c26e-4bf6-972f-5b1ae4c01fff","Microcephaly","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"47","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-16-73ec3d01-6ee6-49de-a801-efce73ef9a18","ap_cv-73ec3d01-6ee6-49de-a801-efce73ef9a18","Neural Tube Defect","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"48","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-17-0d0f7265-6c19-4dcb-8e0f-c60fbb5af2eb","ap_cv-0d0f7265-6c19-4dcb-8e0f-c60fbb5af2eb","Arnold Chiari Malformation","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"49","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-18-0c25179b-e068-4360-8852-532979f3f529","ap_cv-0c25179b-e068-4360-8852-532979f3f529","Dandy-Walker Malformation","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
